LoadedPanels,MeltLabels,Scaling,Conc,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
OXA,OXA,2.731045219,5.00E+03,-0.00922163,-0.002488822,-0.000453902,0.000648115,0.00092033,0.00295276,0.002486822,0.002637009,0.002431069,0.000985908,0.00204161,0.001800821,0.001510746,0.000653919,0.001854318,0.001620638,0.000191048,-0.000137343,-0.001321844,-0.001158906,-0.001730121,-0.001599948,-0.000651414,0.00146324,0.006534257,0.01824154,0.04303817,0.09233444,0.1834537,0.3320491,0.5368359,0.7642303,0.9940225,1.217469,1.431215,1.628175,1.806303,1.972316,2.124417,2.257527
NDM,NDM,2.271668692,1.00E+06,-0.007900396,-0.00169076,0.001107655,0.003105604,0.00224301,0.003588685,0.001883249,0.001025031,0.00023625,-0.000152623,0.001570304,-0.000805759,-0.002094409,-0.001691675,0.000404287,0.003691021,0.01574647,0.03952897,0.08775466,0.1750096,0.3089553,0.4820848,0.6822855,0.8926573,1.100843,1.297222,1.484996,1.645975,1.786818,1.905548,2.001415,2.076983,2.136418,2.166263,2.188926,2.203377,2.212602,2.219996,2.226859,2.232458
NDM,NDM,2.481095756,5.00E+05,-0.009173237,-0.001147083,0.00099679,0.002458594,0.002553228,0.003057419,0.003393271,0.002005582,0.00246565,0.00036502,-8.88E-05,0.000310924,-0.000240812,-0.002848891,-0.002078632,-0.001183216,0.005135912,0.01484577,0.03812192,0.08704126,0.1796706,0.3228258,0.5113006,0.7315835,0.9613783,1.189487,1.407171,1.603967,1.782116,1.93692,2.065178,2.170007,2.253831,2.315609,2.349725,2.373587,2.391762,2.405594,2.419573,2.435428
NDM,NDM,2.391050449,1.00E+05,-0.007958097,-0.003194622,0.00175611,0.000565943,0.001925167,0.003227402,0.003086956,0.003209221,0.001389478,0.001076529,-0.000131818,0.002114495,0.00209928,-0.001019825,-0.000545643,-0.001398753,-0.002460802,-0.001592825,0.000916752,0.005383899,0.01787626,0.03923038,0.09033433,0.178741,0.3139062,0.4906112,0.691051,0.8998718,1.105337,1.29975,1.481612,1.64359,1.787746,1.909686,2.016775,2.098326,2.162164,2.206493,2.232128,2.25411
NDM,NDM,2.477282757,5.00E+04,-0.008804169,-0.002801025,0.000952825,0.002492634,0.003518594,0.003088469,0.001734271,0.002078666,0.003430477,0.000981866,0.001063608,-0.001084455,0.001459055,-0.000501126,-0.001760952,-0.002543079,-0.000777688,-0.000240213,-0.000717674,0.002433299,0.00812939,0.02097552,0.04936736,0.1058949,0.2058905,0.3577661,0.5515338,0.7665915,0.9877645,1.205102,1.408295,1.591434,1.757986,1.896747,2.020552,2.122888,2.197489,2.257736,2.295831,2.321092
NDM,NDM,2.506477168,1.00E+04,-0.00256666,-0.002991311,-0.00026991,0.000319161,0.001425023,0.002212665,0.000459129,0.001328751,0.001675484,0.001610844,0.001329867,-0.0005202,0.000357531,-0.000931083,-0.000322746,-0.00116085,0.000504968,0.000657669,-0.001358594,0.000149887,-0.000866697,0.002576923,0.005347535,0.01305398,0.02755324,0.0553262,0.1073094,0.197991,0.3342062,0.5172009,0.7257518,0.9447328,1.15692,1.355102,1.535862,1.697559,1.840991,1.968431,2.075346,2.162584
NDM,NDM,2.412522963,5.00E+03,-0.004705755,-0.003076703,-0.000972293,-0.001097408,0.001074112,0.002112228,0.001849167,0.002350875,0.0014102,0.002163579,0.00127792,0.000856938,0.002053193,0.000305678,0.001340842,0.00052635,-0.000123289,-0.000521887,-0.00130824,-0.000829411,-0.000244261,0.000205346,0.000143177,0.002910376,0.008439976,0.01857975,0.04024767,0.08031589,0.1537022,0.2700573,0.4342416,0.6301076,0.839597,1.046323,1.23938,1.418555,1.576677,1.724344,1.857188,1.976356
KPC,KPC,3.399315381,1.00E+06,-0.00345454,-1.86E-05,0.000386961,0.000495891,0.000594808,0.001655863,0.001148334,0.000431514,0.001072089,0.001862992,0.001590155,0.002350376,0.003936417,0.01123243,0.02327619,0.04794656,0.09579477,0.1843653,0.3343425,0.5492836,0.8189852,1.1158,1.40006,1.661142,1.894047,2.098187,2.280648,2.440488,2.582026,2.70995,2.817285,2.916775,3.004994,3.080338,3.145887,3.205836,3.253576,3.297125,3.33334,3.365926
KPC,KPC,3.262515712,5.00E+05,-0.005850296,-0.001785023,0.000793435,0.001970941,0.00205551,0.001984308,0.001837186,0.001386694,0.000938178,0.001518473,0.001793671,0.001228649,0.001680492,0.003233306,0.009211929,0.02011828,0.04188208,0.08824892,0.1731241,0.3132933,0.5192659,0.7791799,1.057783,1.331108,1.581467,1.804672,2.002484,2.17639,2.332871,2.472081,2.594916,2.703309,2.799794,2.885728,2.962762,3.026094,3.085201,3.130856,3.172627,3.212653
KPC,KPC,3.027777003,1.00E+05,-0.004446645,-0.003569372,-0.00029881,0.001476582,0.003124903,0.002715807,0.000511851,0.001391411,0.001291659,0.001437354,0.000883226,0.001002294,0.000692332,-0.001014896,0.00147646,0.001538082,0.005706472,0.01074721,0.02415711,0.05054643,0.100133,0.1925972,0.3365169,0.5328006,0.7675355,1.011547,1.249139,1.464716,1.665444,1.844725,2.006553,2.149944,2.282914,2.402989,2.509392,2.604136,2.690026,2.761739,2.830559,2.886657
