LoadedPanels,Conc,Scaling,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM,1.00E+04,2.767638793,-0.004994408,-0.003662419,-0.000308282,6.01E-05,0.001479747,0.001475776,0.002297512,0.001537525,0.0015858,0.003500639,0.002368148,0.001831126,0.000677234,0.00012339,-0.000358799,0.000439933,8.24E-05,0.001381814,0.002639554,0.009404793,0.02166905,0.04727646,0.09534305,0.1834199,0.3189168,0.501195,0.7014986,0.9024959,1.094765,1.275078,1.442367,1.5986,1.7401,1.875464,2.001534,2.116875,2.228666,2.327201,2.423383,2.513407
NDM,1.00E+04,2.379893888,-0.007715452,-0.0026923,-0.001199332,0.001556221,0.001282214,0.002897785,0.003628794,0.000705946,0.002982939,0.002684784,0.001472031,0.00268894,0.001038683,0.000139956,-0.000251275,0.000645143,-0.00238352,-0.002369896,-0.001045177,0.001047051,0.004335246,0.01238529,0.03281195,0.07505076,0.1476851,0.2678445,0.4300916,0.6213,0.8240252,1.026191,1.222962,1.403207,1.569441,1.717505,1.843032,1.949447,2.036747,2.105638,2.156037,2.191203
KPC,1.00E+04,2.937093932,-0.009803678,-0.004241684,0.000191639,0.001032035,0.000648364,0.003417654,0.003512731,0.003251494,0.004693541,0.002584575,0.001905947,0.001937456,0.000671629,0.001828917,0.001226448,-0.001169227,-0.000661444,-0.001455319,-0.001312183,0.001140911,0.004392311,0.01215166,0.0291335,0.06598367,0.1331937,0.2494423,0.4269477,0.6483599,0.8956422,1.142995,1.375787,1.59028,1.781868,1.960595,2.11956,2.259515,2.387599,2.496968,2.598286,2.680504
VIM_NDM,1.00E+04,2.80594069,-0.008958867,-0.003036858,-0.000282358,-0.000314715,0.001352785,0.003532991,0.003376571,0.001561526,0.003297348,0.003475231,0.003299326,0.001622301,0.000973133,0.001042908,0.000871626,-0.001124681,-0.000866104,-0.001026243,-0.000177728,0.001721725,0.007791055,0.01871651,0.04436966,0.09432893,0.1854189,0.3318461,0.5225624,0.7414297,0.9668424,1.18754,1.392326,1.582128,1.757605,1.91691,2.058611,2.185599,2.300236,2.401301,2.488698,2.560521
VIM_KPC,1.00E+04,3.183100323,-0.01129717,-0.00527918,-0.00094211,-0.00021647,0.003505574,0.002410716,0.002820536,0.003370408,0.003752043,0.00392433,0.004182196,0.004308484,0.003937056,0.003071688,0.00352138,0.002584404,-0.00470494,-0.003950057,-0.001260834,0.003452489,0.01290478,0.03192637,0.07295942,0.1468052,0.2787426,0.4756628,0.7176412,0.9822543,1.251914,1.502678,1.73524,1.944745,2.128106,2.296015,2.446764,2.578298,2.696089,2.79961,2.886912,2.970301
NDM_KPC,1.00E+04,2.910923685,-0.008258569,-0.003173142,-0.000455622,-0.000194595,0.001900621,0.002949352,0.00378076,0.0021295,0.002243066,0.001831701,0.00182414,0.002283841,0.001521481,0.000785702,0.001244385,-0.000814924,-0.001286699,-0.000453374,0.000204819,-7.90E-05,0.001686217,0.007255326,0.01727307,0.03947414,0.08611451,0.1711158,0.3127869,0.5206682,0.7701109,1.036037,1.29386,1.531997,1.738031,1.927807,2.092322,2.241772,2.372774,2.485548,2.586364,2.67873
VIM_NDM_KPC,1.00E+04,3.051834719,-0.007508721,-0.003188157,-0.000352702,-6.44E-05,0.000542983,0.002083382,0.002706242,0.004224327,0.00282859,0.001972632,0.002744497,0.002668948,0.001476313,0.002125847,0.00031959,-0.001827639,-0.001969839,-0.001459873,0.000142616,0.002296508,0.00949766,0.02090492,0.04911182,0.1033604,0.1958846,0.3592874,0.5860358,0.8491483,1.126262,1.388897,1.631045,1.843872,2.03291,2.203274,2.351191,2.481809,2.598413,2.697261,2.787473,2.864658
VIM,1.00E+04,2.619062404,-0.003683395,-0.002687941,-0.000848709,0.000151989,0.000145019,0.000951821,0.002238902,0.002248703,0.002028516,0.002261733,0.001443196,0.001190373,-0.000906417,0.00064517,-0.000155466,0.00133442,-0.00022463,0.000614079,0.003023899,0.006504884,0.01439905,0.03163781,0.0675485,0.1360552,0.248143,0.4053979,0.5910829,0.7866164,0.9768297,1.158986,1.325697,1.480273,1.625299,1.7614,1.885043,1.997906,2.10391,2.200414,2.288324,2.372773
NDM,1.00E+04,2.398521036,-0.005184815,-0.002850876,0.000336538,9.61E-05,0.002668079,0.003017903,0.002491201,0.001912502,0.0018592,0.00111116,-0.001011297,0.001740937,-0.001420857,0.000453694,-0.00214079,-0.002257111,-0.00051453,2.23E-05,0.002846607,0.01097783,0.03164382,0.07411906,0.1513243,0.2818793,0.4561062,0.6657415,0.8888546,1.114972,1.33496,1.538045,1.717987,1.872695,2.004441,2.111021,2.189959,2.245392,2.274794,2.297587,2.309877,2.321792
KPC,1.00E+04,2.958365722,-0.01013786,-0.004746964,0.000517574,0.001755228,0.002349453,0.002248188,0.003307437,0.003065692,0.003637771,0.003519038,0.002154191,0.002224035,0.001057293,0.001177005,-0.000160842,-0.000750975,-0.000918991,-0.000511589,-0.000199259,0.00164725,0.007145467,0.02014653,0.04641257,0.09650783,0.1937671,0.3447046,0.549885,0.7912146,1.03555,1.272084,1.494049,1.693858,1.879163,2.047112,2.194122,2.328134,2.446038,2.54935,2.643345,2.722442
VIM_NDM,1.00E+04,2.72507087,-0.007742077,-0.003629222,-0.000989713,0.001971556,0.000900741,0.002266365,0.003488655,0.002834328,0.003812097,0.002504815,0.001751104,0.001362087,0.001847451,-0.000964978,-0.000566203,-7.55E-05,-0.001920895,-3.91E-05,0.002005356,0.002179364,0.009684963,0.02632748,0.05699402,0.1200777,0.2267007,0.3882478,0.5916262,0.8166013,1.037718,1.250074,1.442748,1.622831,1.7868,1.93486,2.068045,2.182838,2.288926,2.377214,2.453231,2.517188
