,TrainSize,Train/Test,Accuracy,SplitID
149,161,Test_Pure,82.79665189561793,49
150,161,Train,96.8944099378882,50
151,161,Test,82.24020032745834,50
152,161,Test_Pure,84.08665681930084,50
153,161,Train,95.65217391304348,51
154,161,Test,86.42010979485698,51
155,161,Test_Pure,88.36041358936485,51
156,161,Train,96.27329192546584,52
157,161,Test,80.05393431570837,52
158,161,Test_Pure,81.85130477597242,52
159,161,Train,91.30434782608695,53
160,161,Test,81.05557160743523,53
161,161,Test_Pure,82.87543082225504,53
162,161,Train,96.8944099378882,54
163,161,Test,77.03939131272271,54
164,161,Test_Pure,78.76907927129493,54
165,161,Train,93.7888198757764,55
166,161,Test,79.25455070788789,55
167,161,Test_Pure,81.03397341211226,55
168,161,Train,95.03105590062113,56
169,161,Test,81.53712799768853,56
170,161,Test_Pure,83.36779911373708,56
171,161,Train,96.8944099378882,57
172,161,Test,81.90311085428104,57
173,161,Test_Pure,83.74199901526342,57
174,161,Train,92.54658385093167,58
175,161,Test,82.60618318405085,58
176,161,Test_Pure,84.46085672082718,58
177,161,Train,95.03105590062113,59
178,161,Test,84.36867957237793,59
179,161,Test_Pure,86.2629246676514,59
180,161,Train,95.03105590062113,60
181,161,Test,76.8756621400366,60
182,161,Test_Pure,78.60167405219104,60
183,161,Train,94.40993788819875,61
184,161,Test,75.4598863526919,61
185,161,Test_Pure,77.15411127523387,61
186,161,Train,98.75776397515527,62
187,161,Test,86.35269190022152,62
188,161,Test_Pure,88.29148202855735,62
189,161,Train,95.03105590062113,63
190,161,Test,74.14042184339786,63
191,161,Test_Pure,75.80502215657312,63
192,161,Train,94.40993788819875,64
193,161,Test,82.89511701820284,64
194,161,Test_Pure,84.75627769571639,64
195,161,Train,93.7888198757764,65
196,161,Test,82.21130694404314,65
197,161,Test_Pure,84.05711472181193,65
198,161,Train,96.27329192546584,66
199,161,Test,79.77463160936146,66
200,161,Test_Pure,81.56573116691284,66
201,161,Train,95.65217391304348,67
202,161,Test,78.53221612250795,67
203,161,Test_Pure,80.29542097488923,67
204,161,Train,94.40993788819875,68
205,161,Test,83.28999325821054,68
206,161,Test_Pure,85.16001969473166,68
207,161,Train,97.51552795031056,69
208,161,Test,79.30270634691323,69
209,161,Test_Pure,81.08321024126046,69
210,161,Train,88.19875776397515,70
211,161,Test,71.52075508041992,70
212,161,Test_Pure,73.12653865091087,70
213,161,Train,95.03105590062113,71
214,161,Test,79.10045266300683,71
215,161,Test_Pure,80.876415558838,71
216,161,Train,96.8944099378882,72
217,161,Test,82.63507656746604,72
218,161,Test_Pure,84.49039881831611,72
219,161,Train,97.51552795031056,73
220,161,Test,84.16642588847154,73
221,161,Test_Pure,86.05612998522895,73
222,161,Train,94.40993788819875,74
223,161,Test,72.88837522873929,74
224,161,Test_Pure,74.52486459871984,74
225,161,Train,94.40993788819875,75
226,161,Test,77.87729943176346,75
227,161,Test_Pure,79.62580009847365,75
228,161,Train,95.65217391304348,76
229,161,Test,79.55311566984494,76
230,161,Test_Pure,81.33924175283111,76
231,161,Train,95.65217391304348,77
232,161,Test,83.30925551382067,77
233,161,Test_Pure,85.17971442639094,77
234,161,Train,97.51552795031056,78
235,161,Test,78.07955311566984,78
236,161,Test_Pure,79.83259478089612,78
237,161,Train,95.03105590062113,79
238,161,Test,83.02032167966868,79
239,161,Test_Pure,84.88429345150172,79
240,161,Train,96.8944099378882,80
241,161,Test,81.83569295964558,80
242,161,Test_Pure,83.67306745445593,80
243,161,Train,91.92546583850931,81
244,161,Test,78.42627371665222,81
245,161,Test_Pure,80.18709995076317,81
246,161,Train,94.40993788819875,82
247,161,Test,78.43590484445728,82
248,161,Test_Pure,80.19694731659281,82
249,161,Train,93.16770186335404,83
250,161,Test,75.64287778098814,83
251,161,Test_Pure,77.34121122599704,83
252,161,Train,94.40993788819875,84
253,161,Test,73.65886545314456,84
254,161,Test_Pure,75.31265386509108,84
255,161,Train,97.51552795031056,85
256,161,Test,80.24655687180969,85
257,161,Test_Pure,82.04825209256525,85
258,161,Train,93.7888198757764,86
259,161,Test,82.9336415294231,86
260,161,Test_Pure,84.79566715903496,86
261,161,Train,95.65217391304348,87
262,161,Test,78.12770875469518,87
263,161,Test_Pure,79.88183161004432,87
264,161,Train,93.16770186335404,88
265,161,Test,81.16151401329095,88
266,161,Test_Pure,82.9837518463811,88
267,161,Train,94.40993788819875,89
268,161,Test,74.46788018877011,89
269,161,Test_Pure,76.1398325947809,89
270,161,Train,98.75776397515527,90
271,161,Test,82.13425792160261,90
272,161,Test_Pure,83.97833579517479,90
273,161,Train,93.16770186335404,91
